2023-09-12 16:42:17,168 INFO    MainThread:10092 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-09-12 16:42:17,169 INFO    MainThread:10092 [wandb_setup.py:_flush():76] Configure stats pid to 10092
2023-09-12 16:42:17,169 INFO    MainThread:10092 [wandb_setup.py:_flush():76] Loading settings from C:\Users\sim\.config\wandb\settings
2023-09-12 16:42:17,169 INFO    MainThread:10092 [wandb_setup.py:_flush():76] Loading settings from c:\Users\sim\Lab\심영준_포항공대\미세먼지\custom\wandb\settings
2023-09-12 16:42:17,169 INFO    MainThread:10092 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-12 16:42:17,169 INFO    MainThread:10092 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'analysis.py', 'program': 'c:\\Users\\sim\\Lab\\심영준_포항공대\\미세먼지\\custom\\analysis.py'}
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:_log_setup():507] Logging user logs to c:\Users\sim\Lab\심영준_포항공대\미세먼지\custom\wandb\run-20230912_164217-4odty64q\logs\debug.log
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:_log_setup():508] Logging internal logs to c:\Users\sim\Lab\심영준_포항공대\미세먼지\custom\wandb\run-20230912_164217-4odty64q\logs\debug-internal.log
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000203B1AD7CD0>
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:init():547] calling init triggers
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:init():596] starting backend
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:init():600] setting up manager
2023-09-12 16:42:17,178 INFO    MainThread:10092 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_init.py:init():606] backend started and connected
2023-09-12 16:42:17,178 INFO    MainThread:10092 [wandb_run.py:_label_probe_notebook():1234] probe notebook
2023-09-12 16:42:17,191 INFO    MainThread:10092 [wandb_run.py:_label_probe_notebook():1244] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-09-12 16:42:17,191 INFO    MainThread:10092 [wandb_init.py:init():697] updated telemetry
2023-09-12 16:42:17,194 INFO    MainThread:10092 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-09-12 16:42:17,817 INFO    MainThread:10092 [wandb_run.py:_on_init():2180] communicating current version
2023-09-12 16:42:17,907 INFO    MainThread:10092 [wandb_run.py:_on_init():2189] got version response upgrade_message: "wandb version 0.15.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-09-12 16:42:17,907 INFO    MainThread:10092 [wandb_init.py:init():781] starting run threads in backend
2023-09-12 16:42:18,058 INFO    MainThread:10092 [wandb_run.py:_console_start():2159] atexit reg
2023-09-12 16:42:18,058 INFO    MainThread:10092 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-09-12 16:42:18,058 INFO    MainThread:10092 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-09-12 16:42:18,058 INFO    MainThread:10092 [wandb_run.py:_redirect():2104] Redirects installed.
2023-09-12 16:42:18,058 INFO    MainThread:10092 [wandb_init.py:init():822] run started, returning control to user process
2023-09-12 16:42:18,210 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:42:18,211 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:42:18,228 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:42:18,229 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:42:18,229 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:42:31,826 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:42:31,833 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:42:31,833 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:42:33,917 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:42:33,921 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:42:33,921 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:42:34,534 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:42:34,536 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:42:34,537 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:42:34,785 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
2023-09-12 16:42:34,788 INFO    MainThread:10092 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-12 16:42:34,788 INFO    MainThread:10092 [wandb_init.py:_pause_backend():418] pausing backend
2023-09-12 16:42:41,967 INFO    MainThread:10092 [wandb_init.py:_resume_backend():423] resuming backend
